id	en	ru	in	vi	pt	el	de	es	cs	it	pl	fr	zh	sw	hi	ar	ko	ja	uk
post_text	In order to retweet & like a users tweet, it is recommended to turn on their post notifications	Чтобы ретвит и, как твит пользователей, рекомендуется включить их пост -уведомления	Untuk me -retweet & menyukai tweet pengguna, disarankan untuk menyalakan pemberitahuan posting mereka	Để tweet và giống như một tweet của người dùng, nên bật thông báo bài đăng của họ	Para retweetar e como um tweet de usuários, é recomendável ativar suas notificações postais	Προκειμένου να επαναλάβετε και να κάνετε ένα tweet χρήστες, συνιστάται να ενεργοποιήσετε τις ειδοποιήσεις post τους	Um Retweet und wie ein Benutzer zu twittern, wird empfohlen, ihre Postbenachrichtigungen einzuschalten	Para retuitear y, como un tweet de los usuarios, se recomienda activar sus notificaciones posteriores	Za účelem retweet a jako tweet uživatelů se doporučuje zapnout svá oznámení	Per ritwittare e come un tweet di utenti, si consiglia di attivare le notifiche post post	Aby przesyłać retweet i lubisz tweet użytkowników, zaleca się włączenie powiadomień postu	Afin de retweeter et comme un tweet des utilisateurs, il est recommandé d'allumer leurs notifications de publication	为了转发和像用户一样推文，建议打开其邮政通知	Ili kurudisha tena na kama tweet ya watumiaji, inashauriwa kuwasha arifa zao za posta	उपयोगकर्ताओं के ट्वीट की तरह रीट्वीट करने के लिए, उनकी पोस्ट नोटिफिकेशन को चालू करने की सिफारिश की जाती है	من أجل إعادة تغريد ومثل تغرد المستخدمين ، يوصى بتشغيل إشعارات منشوراتهم	리트 윗 및 사용자 트윗처럼 보려면 게시물 알림을 켜는 것이 좋습니다.	リツイートしてユーザーのツイートを好むために、ポスト通知をオンにすることをお勧めします	Для того, щоб ретвітувати та як користувачі твіту, рекомендується включити сповіщення про їх повідомлення
optimization_text	Due to Android background execution limits, some tweets may not be shown here. It is recommended to disable battery optimization for the Retweet app	Из -за пределов выполнения Android, некоторые твиты не могут быть показаны здесь. Рекомендуется отключить оптимизацию батареи для приложения ретвита	Karena batas eksekusi latar belakang Android, beberapa tweet mungkin tidak ditampilkan di sini. Disarankan untuk menonaktifkan optimasi baterai untuk aplikasi retweet	Do giới hạn thực thi nền Android, một số tweet có thể không được hiển thị ở đây. Nên vô hiệu hóa tối ưu hóa pin cho ứng dụng retweet	Devido aos limites de execução de segundo plano do Android, alguns tweets não podem ser mostrados aqui. Recomenda -se desativar a otimização da bateria para o aplicativo Retweet	Λόγω των ορίων εκτέλεσης φόντου Android, μερικά tweets ενδέχεται να μην εμφανίζονται εδώ. Συνιστάται να απενεργοποιήσετε τη βελτιστοποίηση της μπαταρίας για την εφαρμογή retweet	Aufgrund von Android -Hintergrundausführungsgrenzen werden hier möglicherweise nicht einige Tweets angezeigt. Es wird empfohlen, die Batterieoptimierung für die Retweet -App zu deaktivieren	Debido a los límites de ejecución de fondo de Android, algunos tweets no se pueden mostrar aquí. Se recomienda deshabilitar la optimización de la batería para la aplicación Retweet	Vzhledem k limitům provádění pozadí Android nemusí být zde některé tweety zobrazeny. Doporučuje se deaktivovat optimalizaci baterie pro aplikaci Retweet	A causa dei limiti di esecuzione dello sfondo Android, alcuni tweet potrebbero non essere mostrati qui. Si consiglia di disabilitare l'ottimizzazione della batteria per l'app Retweet	Ze względu na limity wykonywania tła Androida niektóre tweety nie mogą być tutaj wyświetlane. Zaleca się wyłączenie optymalizacji baterii dla aplikacji retweetowej	En raison des limites d'exécution d'arrière-plan Android, certains tweets peuvent ne pas être affichés ici. Il est recommandé de désactiver l'optimisation de la batterie pour l'application retweet	由于Android背景执行限制，可能不会在此处显示一些推文。建议禁用转发应用程序的电池优化	Kwa sababu ya mipaka ya utekelezaji wa msingi wa Android, tweets zingine haziwezi kuonyeshwa hapa. Inapendekezwa kuzima uboreshaji wa betri kwa programu ya retweet	Android पृष्ठभूमि निष्पादन सीमा के कारण, कुछ ट्वीट यहां नहीं दिखाए जा सकते हैं। यह रिट्वीट ऐप के लिए बैटरी ऑप्टिमाइज़ेशन को अक्षम करने की सिफारिश की जाती है	بسبب حدود تنفيذ خلفية Android ، قد لا يتم عرض بعض التغريدات هنا. يوصى بتعطيل تحسين البطارية لتطبيق إعادة التغريد	안드로이드 배경 실행 제한으로 인해 여기에는 일부 트윗이 표시되지 않을 수 있습니다. 리트 윗 앱의 배터리 최적화를 비활성화하는 것이 좋습니다.	Androidのバックグラウンドの実行制限により、ここにはいくつかのツイートが表示されない場合があります。リツイートアプリのバッテリーの最適化を無効にすることをお勧めします	Через межі виконання фону Android, деякі твіти тут не можуть бути показані. Рекомендується відключити оптимізацію акумулятора для програми Retweet
optimization_title	Optimization	Оптимизация	Optimasi	Tối ưu hóa	Otimização	Βελτιστοποίηση	Optimierung	Mejoramiento	Optimalizace	Ottimizzazione	Optymalizacja	Optimisation	优化	Optimization	अनुकूलन	تحسين	최적화	最適化	Оптимізація
next_text	You have completed the initial setup. Interaction with the app is no longer required as the likes and reposts will be performed automatically. You can check back on the app at least once a day to ensure that it's still running	Вы завершили начальную настройку. Взаимодействие с приложением больше не требуется, так как лайки и репосты будут выполняться автоматически. Вы можете проверять приложение не реже одного раза в день, чтобы убедиться, что оно все еще работает	Anda telah menyelesaikan pengaturan awal. Interaksi dengan aplikasi tidak lagi diperlukan karena suka dan repost akan dilakukan secara otomatis. Anda dapat memeriksa kembali aplikasi setidaknya sekali sehari untuk memastikan itu masih berjalan	Bạn đã hoàn thành thiết lập ban đầu. Tương tác với ứng dụng không còn cần thiết vì các lượt thích và các bản đăng lại sẽ được thực hiện tự động. Bạn có thể kiểm tra lại trên ứng dụng ít nhất một lần một ngày để đảm bảo rằng nó vẫn đang chạy	Você concluiu a configuração inicial. A interação com o aplicativo não é mais necessária, pois os gostos e repostos serão executados automaticamente. Você pode verificar o aplicativo pelo menos uma vez por dia para garantir que ele ainda esteja funcionando	Έχετε ολοκληρώσει την αρχική ρύθμιση. Η αλληλεπίδραση με την εφαρμογή δεν απαιτείται πλέον, καθώς οι συμπαθείς και οι reposts θα εκτελούνται αυτόματα. Μπορείτε να ελέγξετε ξανά την εφαρμογή τουλάχιστον μία φορά την ημέρα για να βεβαιωθείτε ότι εξακολουθεί να λειτουργεί	Sie haben das erste Setup abgeschlossen. Die Interaktion mit der App ist nicht mehr erforderlich, da die Likes und Reposts automatisch durchgeführt werden. Sie können die App mindestens einmal am Tag wiedersehen, um sicherzustellen, dass sie noch ausgeführt wird	Has completado la configuración inicial. La interacción con la aplicación ya no se requiere, ya que los gustos y las repeticiones se realizarán automáticamente. Puede volver a consultar la aplicación al menos una vez al día para asegurarse de que todavía esté funcionando	Dokončili jste počáteční nastavení. Interakce s aplikací již není vyžadována, protože lajky a reposts budou prováděny automaticky. Můžete zkontrolovat aplikaci alespoň jednou denně, abyste se ujistili, že stále běží	Hai completato l'impostazione iniziale. L'interazione con l'app non è più richiesta in quanto simili verranno eseguiti automaticamente. Puoi ricontrollare l'app almeno una volta al giorno per assicurarti che sia ancora in esecuzione	Ukończyłeś początkową konfigurację. Interakcja z aplikacją nie jest już wymagana, ponieważ polubienia i reposty będą wykonywane automatycznie. Możesz sprawdzić aplikację przynajmniej raz dziennie, aby upewnić się, że nadal działa	Vous avez terminé la configuration initiale. L'interaction avec l'application n'est plus requise car les goûts et les republier seront effectués automatiquement. Vous pouvez revenir sur l'application au moins une fois par jour pour vous assurer qu'il fonctionne toujours	您已经完成了初始设置。不再需要与应用程序的互动，因为喜欢并自动执行重新发布。您可以每天至少检查一次应用程序，以确保其仍在运行	Umekamilisha usanidi wa awali. Mwingiliano na programu hauhitajiki tena kwani vipendwa na repost vitafanywa kiatomati. Unaweza kuangalia tena kwenye programu angalau mara moja kwa siku ili kuhakikisha kuwa bado inaendelea	आपने प्रारंभिक सेटअप पूरा कर लिया है। ऐप के साथ बातचीत की आवश्यकता नहीं है क्योंकि पसंद और रिपोस्ट स्वचालित रूप से किए जाएंगे। आप यह सुनिश्चित करने के लिए दिन में कम से कम एक बार ऐप पर वापस जांच कर सकते हैं कि यह अभी भी चल रहा है	لقد أكملت الإعداد الأولي. لم يعد التفاعل مع التطبيق مطلوبًا حيث سيتم تنفيذ الإعجابات وإعادة النشر تلقائيًا. يمكنك التحقق مرة أخرى على التطبيق مرة واحدة على الأقل يوميًا للتأكد من أنه لا يزال يعمل	초기 설정을 완료했습니다. 좋아요와 재 게시물이 자동으로 수행되므로 앱과의 상호 작용은 더 이상 필요하지 않습니다. 최소한 하루에 한 번 앱에서 다시 확인하여 여전히 실행 중인지 확인할 수 있습니다.	最初のセットアップが完了しました。いいねと再投稿が自動的に実行されるため、アプリとの相互作用は不要になります。少なくとも1日に1回、アプリがまだ実行されていることを確認することができます	Ви завершили початкову установку. Взаємодія з додатком більше не потрібна, оскільки подоба та репостів виконуватимуться автоматично. Ви можете перевіряти додаток хоча б раз на день, щоб переконатися, що він все ще працює
next_title	What next?	Что дальше?	Apa selanjutnya?	Tiếp theo là gì?	Qual o proximo?	Ποιο είναι το επόμενο?	Was als nächstes?	¿Qué sigue?	Co dál?	Cosa dopo?	Co następne?	Quoi de suivi?	接下来是什么？	Nini baadaye?	आगे क्या?	ماذا بعد؟	다음은?	次は何？	Що далі?
access_enabled	Notification access is enabled	Доступ уведомления включен	Akses pemberitahuan diaktifkan	Truy cập thông báo được bật	O acesso à notificação está ativado	Η πρόσβαση ειδοποίησης είναι ενεργοποιημένη	Benachrichtigungszugriff ist aktiviert	El acceso a la notificación está habilitado	Přístup k oznámení je povolen	L'accesso alla notifica è abilitato	Dostęp do powiadomienia jest włączony	L'accès à la notification est activé	通知访问已启用	Ufikiaji wa arifu umewezeshwa	अधिसूचना पहुंच सक्षम है	يتم تمكين الوصول إلى الإخطار	알림 액세스가 활성화되었습니다	通知アクセスが有効になっています	Доступ до сповіщень увімкнено
access_disabled	Notification access is disabled	Доступ уведомления отключен	Akses pemberitahuan dinonaktifkan	Truy cập thông báo bị vô hiệu hóa	O acesso à notificação está desativado	Η πρόσβαση ειδοποίησης είναι απενεργοποιημένη	Benachrichtigungszugriff ist deaktiviert	El acceso a la notificación está deshabilitado	Přístup k oznámení je zakázán	L'accesso alla notifica è disabilitato	Dostęp do powiadomienia jest wyłączony	L'accès à la notification est désactivé	通知访问被禁用	Ufikiaji wa arifu umezimwa	अधिसूचना पहुंच अक्षम है	يتم تعطيل الوصول إلى الإخطار	알림 액세스가 비활성화되었습니다	通知アクセスは無効です	Доступ до сповіщень вимкнено
test_fail	Test Failed	Тест не удался	Tes gagal	Thử nghiệm thất bại	Teste falhou	Απέτυχε η δοκιμή	Im Test durchgefallen	Falló la prueba	Test selhal	Test non riuscito	Test nieudany	Test échoué	测试失败	Mtihani umeshindwa	परीक्षण विफल	فشل الاختبار	테스트 실패	テストに失敗しました	Не вдалося
test_passed	Test passed	Тест пройден	Tes lulus	Bài kiểm tra đã qua	Teste passado	Πέρασε η δοκιμή	Test bestanden	Prueba aprobada	Test prošel	Test superato	Test zaliczony	Test réussi	考试通过了	Mtihani umepita	परीक्षा उत्तीर्ण की	اختبر اختبار	테스트가 통과되었습니다	テストが合格しました	Тест пройшов
change	Change	Изменять	Mengubah	Thay đổi	Mudar	Αλλαγή	Ändern	Cambiar	Změna	Modifica	Zmiana	Changement	改变	Mabadiliko	परिवर्तन	يتغير	변화	変化	Зміна
enabled	Enabled	Включено	Diaktifkan	Đã bật	Habilitado	Ενεργοποιημένος	Ermöglicht	Activado	Povoleno	Abilitato	Włączony	Activé	启用	Kuwezeshwa	सक्रिय	تمكين	활성화	有効になっています	Увімкнено
twitter_setup_title	Twitter Setup	Настройка Twitter	Pengaturan Twitter	Thiết lập Twitter	Configuração do Twitter	Ρύθμιση Twitter	Twitter -Setup	Configuración de Twitter	Nastavení Twitteru	Setup Twitter	Konfiguracja na Twitterze	Configuration de Twitter	Twitter设置	Usanidi wa Twitter	ट्विटर सेटअप	إعداد تويتر	트위터 설정	Twitterのセットアップ	Налаштування Twitter
install	Install	Установить	Install	Cài đặt	Instalar	Εγκαθιστώ	Installieren	Instalar	Nainstalujte	Installare	zainstalować	Installer	安装	Kuweka	स्थापित करना	ثَبَّتَ	설치하다	インストール	Встановити
installed	Installed	Установлен	Terpasang	Cài đặt	Instalado	Εγκατεστημένος	Eingerichtet	Instalado	Nainstalováno	Installato	Zainstalowane	installée	安装	Imewekwa	स्थापित	المثبتة	설치	インストール	Встановлений
help	Help	Помощь	Membantu	Giúp đỡ	Ajuda	Βοήθεια	Helfen	Ayuda	Pomoc	Aiuto	Pomoc	Aide	帮助	Msaada	मदद	يساعد	돕다	ヘルプ	Допомога
run	Run	Бегать	Berlari	Chạy	Correr	Τρέξιμο	Laufen	Correr	Běh	Correre	Uruchomić	Courir	跑步	Kukimbia	दौड़ना	يجري	달리다	走る	Пробігати
complete	Complete	Полный	Menyelesaikan	Hoàn thành	Completo	Πλήρης	Vollständig	Completo	Kompletní	Completare	Kompletny	Complet	完全的	Kamili	पूरा	مكتمل	완벽한	完了	Повне
detect_notification	We've detected a notification from Twitter, the setup process is now complete	Мы обнаружили уведомление из Twitter, процесс настройки теперь завершен	Kami telah mendeteksi pemberitahuan dari Twitter, proses pengaturan sekarang selesai	Chúng tôi đã phát hiện một thông báo từ Twitter, quy trình thiết lập hiện đã hoàn tất	Detectamos uma notificação do Twitter, o processo de configuração agora está completo	Έχουμε εντοπίσει μια ειδοποίηση από το Twitter, η διαδικασία εγκατάστασης ολοκληρώθηκε τώρα	Wir haben eine Benachrichtigung von Twitter festgestellt, der Einrichtungsprozess ist jetzt abgeschlossen	Hemos detectado una notificación de Twitter, el proceso de configuración ahora está completo	Zjistili jsme oznámení z Twitteru, proces nastavení je nyní kompletní	Abbiamo rilevato una notifica da Twitter, il processo di configurazione è ora completo	Wykryliśmy powiadomienie z Twittera, proces konfiguracji jest już zakończony	Nous avons détecté une notification de Twitter, le processus de configuration est maintenant complet	我们已经从Twitter检测到了通知，设置过程已完成	Tumegundua arifa kutoka kwa Twitter, mchakato wa usanidi sasa umekamilika	हमने ट्विटर से एक अधिसूचना का पता लगाया है, सेटअप प्रक्रिया अब पूरी हो गई है	لقد اكتشفنا إشعارًا من Twitter ، عملية الإعداد كاملة الآن	트위터에서 알림을 감지했는데 설정 프로세스가 완료되었습니다.	Twitterからの通知を検出しましたが、セットアッププロセスが完了しました	Ми виявили повідомлення з Twitter, процес налаштування тепер завершено
turn_on	Turn on post notifications	Включите почтовые уведомления	Nyalakan pemberitahuan pos	Bật thông báo bài viết	Ative notificações de postagem	Ενεργοποιήστε τις ειδοποιήσεις ταχυδρομείου	Postbenachrichtigungen einschalten	Activar las notificaciones posteriores	Zapnout oznámení nových příspěvků	Accendi le notifiche post	Włącz powiadomienia o postach	Allumez les notifications de publication	打开通知	Washa arifa za posta	पोस्ट नोटिफिकेशन चालू करें	قم بتشغيل الإشعارات بعد	게시 후 알림을 켜십시오	ポスト通知をオンにします	Увімкніть повідомлення про повідомлення
enable_twitter_check	Ensure that you have enabled notifications from Twitter	Убедитесь, что вы включили уведомления из Twitter	Pastikan bahwa Anda telah mengaktifkan pemberitahuan dari Twitter	Đảm bảo rằng bạn đã bật thông báo từ Twitter	Certifique -se de que você tenha ativado as notificações do Twitter	Βεβαιωθείτε ότι έχετε ενεργοποιήσει ειδοποιήσεις από το Twitter	Stellen Sie sicher, dass Sie Benachrichtigungen von Twitter aktiviert haben	Asegúrese de tener notificaciones habilitadas de Twitter	Ujistěte se, že jste povolili oznámení z Twitteru	Assicurati di aver abilitato le notifiche da Twitter	Upewnij się, że włączyłeś powiadomienia z Twittera	Assurez-vous que vous avez activé les notifications de Twitter	确保您已从Twitter启用了通知	Hakikisha kuwa umewezesha arifa kutoka Twitter	सुनिश्चित करें कि आपने ट्विटर से सूचनाओं को सक्षम किया है	تأكد من قيامك بتمكين الإخطارات من Twitter	트위터에서 알림을 활성화했는지 확인하십시오	Twitterからの通知を有効にしていることを確認してください	Переконайтесь, що ви ввімкнули сповіщення з Twitter
twitter_required	Twitter app required	Твиттер приложение требуется	Diperlukan aplikasi twitter	Ứng dụng Twitter yêu cầu	Twitter App necessário	Απαιτείται εφαρμογή Twitter	Twitter -App erforderlich	Aplicación de Twitter requerida	Vyžaduje se aplikace Twitteru	App Twitter richiesto	Wymagana aplikacja na Twitterze	Application Twitter requise	需要Twitter应用	Programu ya Twitter inahitajika	ट्विटर ऐप की आवश्यकता है	تطبيق Twitter مطلوب	트위터 앱이 필요합니다	Twitterアプリが必要です	Потрібна програма Twitter
run_test	Run notification test	Запустите тест уведомления	Jalankan tes pemberitahuan	Chạy kiểm tra thông báo	Executar teste de notificação	Δοκιμή ειδοποίησης εκτέλεσης	Benachrichtigungstest ausführen	Prueba de notificación de ejecución	Test spuštění oznámení	Esegui test di notifica	Uruchom test powiadomień	Exécuter le test de notification	运行通知测试	Run mtihani wa arifu	अधिसूचना परीक्षण चलाएं	تشغيل اختبار الإخطار	알림 테스트를 실행하십시오	通知テストを実行します	Тест на запуск сповіщення
feature_unavailable	Feature not available?	Функция недоступна?	Fitur tidak tersedia?	Tính năng không có sẵn?	Recurso não disponível?	Μη Διαθέσιμο Χαρακτηριστικό?	Funktion nicht verfügbar?	Característica no disponible?	Funkce není k dispozici?	Funzione non disponibile?	Funkcja niedostępna?	Fonctionnalité non disponible?	功能不可用？	Hulka haipatikani?	सुविधा उपलब्ध नहीं है?	ميزة غير متوفرة؟	기능을 사용할 수 없습니까?	機能は利用できませんか？	Функція недоступна?
setup	Setup	Настраивать	Mempersiapkan	Cài đặt	Configurar	Εγκατάσταση	Aufstellen	Configuración	Založit	Impostare	Organizować coś	Installation	设置	Usanidi	स्थापित करना	يثبت	설정	設定	Налаштування
not_test	This is a notification test	Это тест уведомления	Ini adalah tes pemberitahuan	Đây là một bài kiểm tra thông báo	Este é um teste de notificação	Αυτή είναι μια δοκιμή ειδοποίησης	Dies ist ein Benachrichtigungstest	Esta es una prueba de notificación	Toto je test oznámení	Questo è un test di notifica	To jest test powiadomienia	Ceci est un test de notification	这是一个通知测试	Huu ni mtihani wa arifu	यह एक अधिसूचना परीक्षण है	هذا اختبار للإخطار	이것은 알림 테스트입니다	これは通知テストです	Це тест сповіщення
